fldOriginalDateModified,fldOriginalRecordingName,fldSurveyName,fldRecordingFormat,fkCardRecorderID,fldSurveyLength,fldSampleRate,fldBitsperSample,fldChannels
2017-06-05_215700_EDT,S4A01556_20170605_202700.wav,WS33L7_2017-06-05_215700_EDT_00000_000.wav,wav,1,1800,24000,16,2
2017-06-06_062700_EDT,S4A01556_20170606_042700.wav,WS33L7_2017-06-06_062700_EDT_00000_000.wav,wav,1,3600,24000,16,2
2017-06-06_215700_EDT,S4A01556_20170606_202700.wav,WS33L7_2017-06-06_215700_EDT_00000_000.wav,wav,1,1800,24000,16,2
2017-06-07_062600_EDT,S4A01556_20170607_042600.wav,WS33L7_2017-06-07_062600_EDT_00000_000.wav,wav,1,3600,24000,16,2
2017-06-07_215800_EDT,S4A01556_20170607_202800.wav,WS33L7_2017-06-07_215800_EDT_00000_000.wav,wav,1,1800,24000,16,2
2017-06-08_062600_EDT,S4A01556_20170608_042600.wav,WS33L7_2017-06-08_062600_EDT_00000_000.wav,wav,1,3600,24000,16,2
