Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	0.950007497	2.559742422	1802.4	4695.7	1.610	2893.3	-68.4	RCKI song
2	Spectrogram 1	1	5.264624878	8.761180248	2514.3	4057.1	3.497	1542.9	-78.7	WTSP song
3	Spectrogram 1	1	21.417023943	25.322610319	2228.6	7200.0	3.906	4971.4	-84.8	WIWR song
4	Spectrogram 1	1	26.069457002	26.702795334	2285.7	5714.3	0.633	3428.6	-79.6	YBFL song
5	Spectrogram 1	1	27.989875978	29.177385349	2857.1	6800.0	1.188	3942.9	-85.7	MAWA song
6	Spectrogram 1	1	52.384331541	54.627404797	1657.1	5657.1	2.243	4000.0	-79.5	FOSP song
7	Spectrogram 1	1	81.707769638	83.950842895	2742.9	5771.4	2.243	3028.6	-67.5	DEJU song
8	Spectrogram 1	2	161.401331187	162.536062364	1485.7	4628.6	1.135	3142.9	-82.1	SWTH song
9	Spectrogram 1	2	192.634716849	193.927782608	6400.0	8285.7	1.293	1885.7	-90.5	GCKI song
10	Spectrogram 1	1	231.294379101	232.231192050	4571.4	7714.3	0.937	3142.9	-77.7	AMRE song
11	Spectrogram 1	1	254.831689469	256.085171583	1942.9	6457.1	1.253	4514.3	-86.1	MOWA song
12	Spectrogram 1	2	428.131543228	429.213496211	2114.3	5371.4	1.082	3257.1	-80.2	ALFL song
13	Spectrogram 1	1	1090.054564822	1090.608735862	2114.3	5314.3	0.554	3200.0	-66.3	BHVI song
