Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	2	0.073323841	4.051142230	1406.2	6890.6	3.978	5484.4	-75.9	RCKI song
3	Spectrogram 1	2	6.067547864	7.607348531	2330.1	5475.7	1.540	3145.6	-77.7	WIWR song
4	Spectrogram 1	2	24.153987466	26.811976711	1048.5	5592.2	2.658	4543.7	-69.0	FOSP song
5	Spectrogram 1	2	31.697177635	33.530273667	1805.8	6291.3	1.833	4485.4	-77.1	BTNW song
6	Spectrogram 1	2	35.051743373	36.774853643	7281.6	9203.9	1.723	1922.3	-70.8	BLPW song
7	Spectrogram 1	2	43.319006475	44.748821380	1864.1	5650.5	1.430	3786.4	-77.1	HETH song
8	Spectrogram 1	2	46.746896054	48.818294569	1747.6	4543.7	2.071	2796.1	-73.3	RBNU call
9	Spectrogram 1	2	99.129825381	101.476188302	2330.1	6174.8	2.346	3844.7	-71.8	DEJU song
10	Spectrogram 1	2	111.382082993	114.718317770	1572.8	5650.5	3.336	4077.7	-76.0	WTSP song
11	Spectrogram 1	2	14.222305349	15.028867603	932.0	3087.4	0.807	2155.3	-77.4	SWTH call
13	Spectrogram 1	1	245.451227254	247.210999445	1887.6	7685.4	1.760	5797.8	-74.3	AMRE song
14	Spectrogram 1	2	268.381810802	272.249643429	1280.9	7011.2	3.868	5730.3	-70.0	PUFI song
15	Spectrogram 1	2	286.091824056	288.144891611	1955.1	7887.6	2.053	5932.6	-73.1	MAWA song
16	Spectrogram 1	2	315.951641548	318.316335429	5528.1	8831.5	2.365	3303.4	-74.3	GCKI song
17	Spectrogram 1	2	1502.736582814	1503.669842951	2662.9	5460.7	0.933	2797.8	-82.6	YBFL call
18	Spectrogram 1	2	2044.331982127	2045.789293472	2831.5	8224.7	1.457	5393.3	-65.6	MAWA song
19	Spectrogram 1	2	2104.367848539	2104.938174178	2831.5	5191.0	0.570	2359.6	-75.1	BHVI song
20	Spectrogram 1	1	2434.384556302	2435.939989863	3438.2	8494.4	1.555	5056.2	-81.8	MYWA song
21	Spectrogram 1	2	2457.690389737	2460.321664845	962.3	3679.2	2.631	2717.0	-79.8	AMRO song
22	Spectrogram 1	2	2625.451340844	2631.971199856	735.8	7924.5	6.520	7188.7	-69.2	RCKI song
23	Spectrogram 1	2	3025.705330993	3027.351498178	3169.8	6396.2	1.646	3226.4	-65.1	MYWA song
24	Spectrogram 1	2	3046.410964389	3053.086366756	2717.0	7924.5	6.675	5207.5	-62.1	WIWR song
