Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	6.763147791	8.242586371	7304.3	8585.0	1.479	1280.6	-79.9	BLPW song
2	Spectrogram 1	1	0.766137836	1.981390954	5055.8	7248.7	1.215	2192.9	-71.9	AMRE song
3	Spectrogram 1	1	4.438315738	5.389383396	1461.9	4446.7	0.951	2984.8	-72.1	BHVI song
4	Spectrogram 1	2	24.749104885	28.130678781	2314.7	6761.4	3.382	4446.7	-73.9	WIWR Song
5	Spectrogram 1	2	26.348953975	28.224670745	4385.8	7797.0	1.876	3411.2	-78.6	BTNW song
6	Spectrogram 1	1	35.410515274	38.052369880	3654.8	5299.5	2.642	1644.7	-73.3	WTSP song
7	Spectrogram 1	2	44.047695538	45.844156670	2132.0	3045.7	1.796	913.7	-78.3	RCKI song
8	Spectrogram 1	2	255.262034108	257.243425063	2923.9	6152.3	1.981	3228.4	-78.2	MAWA song
9	Spectrogram 1	2	609.227566739	611.658072976	1766.5	5360.4	2.431	3593.9	-76.6	FOSP song
10	Spectrogram 1	2	674.563580453	676.756319776	2192.9	6030.5	2.193	3837.6	-80.5	BLJA call
11	Spectrogram 1	1	872.339509316	874.347318816	2497.5	6030.5	2.008	3533.0	-77.8	DEJU song
12	Spectrogram 1	1	1961.973116883	1964.588552943	1888.3	6700.5	2.615	4812.2	-68.1	PUFI song
13	Spectrogram 1	1	2147.809357242	2149.579399828	5177.7	8893.4	1.770	3715.7	-73.1	BLBW song
14	Spectrogram 1	2	2385.443733365	2386.447638115	2192.9	5299.5	1.004	3106.6	-79.8	ALFL song
15	Spectrogram 1	1	2884.001349247	2885.692136195	4020.3	7431.5	1.691	3411.2	-68.5	BRCR song
16	Spectrogram 1	1	2882.469073576	2883.737163787	2436.5	6030.5	1.268	3593.9	-72.1	MOWA song
17	Spectrogram 1	1	2981.019766315	2983.265342730	6213.2	9137.1	2.246	2923.9	-81.3	GCKI song
18	Spectrogram 1	2	3000.913766554	3001.706322936	2923.9	5360.4	0.793	2436.5	-83.7	YBFL call
