Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	7.425827881	9.340501272	7302.3	9302.3	1.915	2000.0	-71.5	BLPW song
2	Spectrogram 1	1	18.499884790	21.527138665	1568.2	5250.0	3.027	3681.8	-71.6	WTSP song
3	Spectrogram 1	2	371.563322137	374.512954117	1704.5	6000.0	2.950	4295.5	-60.7	FOSP song
4	Spectrogram 1	2	360.825626769	367.242370025	2250.0	7977.3	6.417	5727.3	-64.8	WIWR song
5	Spectrogram 1	1	2.069917179	4.191582288	1772.7	7500.0	2.122	5727.3	-72.0	MAWA song
6	Spectrogram 1	2	321.597634014	324.521392030	613.6	4704.5	2.924	4090.9	-60.3	SWTH call
7	Spectrogram 1	1	1019.061209814	1020.303160121	545.5	6272.7	1.242	5727.3	-53.7	SWTH call
8	Spectrogram 1	1	1379.074992740	1380.538645214	477.3	4840.9	1.464	4363.6	-63.4	SWTH song
9	Spectrogram 1	1	3559.761505390	3560.475035971	272.7	4159.1	0.714	3886.4	-72.9	SWTH call
10	Spectrogram 1	1	3467.024003920	3468.396178114	409.1	4090.9	1.372	3681.8	-74.6	SWTH song
