Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	2	17.928390014	20.055926890	7354.8	9788.0	2.128	2433.2	-80.0	BLPW song
2	Spectrogram 1	2	14.737084700	17.383533009	1216.6	7188.9	2.646	5972.4	-80.1	SWTH song
3	Spectrogram 1	2	6.767488566	8.453950724	1824.9	4258.1	1.686	2433.2	-79.6	RCKI song
4	Spectrogram 1	2	18.189245411	19.927598712	1824.9	6138.2	1.738	4313.4	-81.1	MAWA song
5	Spectrogram 1	1	52.269512117	53.774355273	2101.4	8239.6	1.505	6138.2	-85.7	AMRE song
6	Spectrogram 1	1	142.267207891	150.608709178	585.4	8195.1	8.342	7609.8	-80.8	WIWR song
7	Spectrogram 1	1	169.883622832	174.164642155	1404.9	5326.8	4.281	3922.0	-64.4	WTSP song
8	Spectrogram 1	1	179.111508736	182.186058977	1639.0	6790.2	3.075	5151.2	-76.9	FOSP song
9	Spectrogram 1	2	280.780281481	282.116478421	4718.6	7533.3	1.336	2814.6	-85.1	AMRE song
10	Spectrogram 1	2	588.550812601	590.859968478	538.1	4056.4	2.309	3518.3	-84.7	RBNU call
11	Spectrogram 1	1	759.560328059	760.753824355	2980.2	5463.7	1.193	2483.5	-82.3	MYWA song
12	Spectrogram 1	2	1267.123301961	1268.728602307	4917.1	6673.2	1.605	1756.1	-85.0	GCKI song
13	Spectrogram 1	2	1287.899824927	1289.138199479	2111.0	6415.7	1.238	4304.7	-79.6	BTBW song
