Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	2	5.535619097	7.363146396	4308.9	6764.5	1.828	2455.6	-68.6	BTNW song
2	Spectrogram 1	2	54.015636776	55.879714622	3454.5	7454.5	1.864	4000.0	-73.3	MAWA song
5	Spectrogram 1	2	79.854040454	81.992247394	1939.4	6787.9	2.138	4848.5	-73.2	FOSP song
6	Spectrogram 1	2	83.441116041	88.923697940	2060.6	7515.2	5.483	5454.5	-75.4	WIWR song
7	Spectrogram 1	2	111.958225675	117.404257029	2606.1	4484.8	5.446	1878.8	-73.1	WTSP song
8	Spectrogram 1	2	577.595225995	579.733432936	6181.8	9151.5	2.138	2969.7	-72.2	GCKI song
9	Spectrogram 1	2	621.025822359	623.474708941	5939.4	9090.9	2.449	3151.5	-63.3	GCKI song
10	Spectrogram 1	1	762.639842175	764.101864015	7515.2	9090.9	1.462	1575.8	-79.2	BLPW song
