Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	7.752394569	9.870032040	7265.6	9796.9	2.118	2531.2	-44.3	BLPW song
2	Spectrogram 1	1	7.089481969	9.943688995	3171.0	5658.0	2.854	2487.0	-46.3	WTSP song
3	Spectrogram 1	1	2.191294427	3.498705387	2860.1	7709.8	1.307	4849.7	-60.3	SWTH song
4	Spectrogram 1	1	5.726828292	6.813268386	2611.4	6528.5	1.086	3917.1	-54.2	MAWA song
5	Spectrogram 1	1	26.322863193	28.182701320	2860.1	5844.6	1.860	2984.5	-56.8	MYWA song
6	Spectrogram 1	2	187.397546584	189.478355578	2362.7	6839.4	2.081	4476.7	-53.8	FOSP song
7	Spectrogram 1	1	317.396916334	317.986171979	1554.4	3108.8	0.589	1554.4	-56.5	AMRO song
8	Spectrogram 1	1	354.745501971	355.629385438	1989.6	4476.7	0.884	2487.0	-69.8	ALFL song
9	Spectrogram 1	1	548.808579204	551.312915692	1927.5	4414.5	2.504	2487.0	-66.9	WIWR song
10	Spectrogram 1	2	819.712624025	821.038449225	4601.0	8580.3	1.326	3979.3	-61.3	AMRE song
11	Spectrogram 1	1	1989.523157474	1991.493481034	2114.0	6279.8	1.970	4165.8	-56.8	PUFI song
12	Spectrogram 1	1	2189.851326568	2192.760776311	3917.1	8269.4	2.909	4352.3	-68.4	NAWA song
13	Spectrogram 1	2	3483.255899796	3485.115737923	6590.7	8082.9	1.860	1492.2	-76.6	GCKI song
