Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	0.916292516	1.979191835	1348.8	2651.2	1.063	1302.3	-84.5	SWTH call
2	Spectrogram 1	1	0.916292516	3.701821765	3618.1	6633.2	2.786	3015.1	-74.7	BTNW song
3	Spectrogram 1	1	9.456138766	13.634432639	2653.3	6452.3	4.178	3799.0	-71.9	FOSP song
4	Spectrogram 1	1	27.959578560	30.045490804	7477.4	8804.0	2.086	1326.6	-85.0	BLPW song
5	Spectrogram 1	1	14.374947956	16.610701695	2834.2	5969.8	2.236	3135.7	-84.9	MAWA song
6	Spectrogram 1	1	16.074227556	17.613598983	4341.7	7115.6	1.539	2773.9	-81.5	AMRE song
7	Spectrogram 1	1	43.925650334	52.365894379	2713.6	8864.3	8.440	6150.8	-67.1	WIWR song
8	Spectrogram 1	1	79.406092178	83.181217344	1869.3	4884.4	3.775	3015.1	-75.9	RCKI song
9	Spectrogram 1	2	101.817665310	104.639846259	3316.6	5668.3	2.822	2351.8	-79.0	WTSP song
10	Spectrogram 1	1	143.407295240	145.569745578	2472.4	6814.1	2.162	4341.7	-78.7	DEJU song
11	Spectrogram 1	2	1540.584637750	1542.160660878	2096.8	5064.5	1.576	2967.7	-89.4	YBFL call
