Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
4	Spectrogram 1	1	644.140642589	645.593493432	7162.3	9235.6	1.453	2073.3	-84.2	BLPW song
8	Spectrogram 1	2	8.732778422	10.692756447	2680.9	6638.3	1.960	3957.4	-78.9	BTNW song
7	Spectrogram 1	1	1063.328111708	1066.891708116	2827.2	6031.4	3.564	3204.2	-73.6	FOSP song
1	Spectrogram 1	1	1.699561364	3.124999928	2469.1	6469.1	1.425	4000.0	-54.3	MAWA song
3	Spectrogram 1	1	445.210563563	447.705081050	2199.0	7790.6	2.495	5591.6	-69.2	NOWA song
6	Spectrogram 1	1	839.697293425	840.999376728	2073.3	5717.3	1.302	3644.0	-66.8	SWTH song
5	Spectrogram 1	1	762.468534996	770.705925157	2136.1	8984.3	8.237	6848.2	-63.8	WIWR song
2	Spectrogram 1	1	24.567957913	29.310282365	3078.5	5968.6	4.742	2890.1	-66.4	WTSP song
9	Spectrogram 1	1	668.711041811	676.496129350	3255.3	11361.7	7.785	8106.4	-78.7	OVEN flight song
