Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
10	Spectrogram 1	2	3051.220729128	3051.793645788	1830.5	5559.3	0.573	3728.8	-70.0	ALFL call
6	Spectrogram 1	2	3347.545299655	3348.668568227	3593.2	7593.2	1.123	4000.0	-56.6	AMRE song
4	Spectrogram 1	2	12.521682439	13.147766561	1762.7	2915.3	0.626	1152.5	-54.4	AMRO song
1	Spectrogram 1	1	8.341650213	10.459287684	7116.3	9162.8	2.118	2046.5	-43.9	BLPW song
9	Spectrogram 1	2	2350.376208294	2351.782458278	1762.7	7118.6	1.406	5355.9	-64.1	FOSP song
3	Spectrogram 1	1	8.912491618	9.870032040	2983.1	6711.9	0.958	3728.8	-58.6	MAWA song
5	Spectrogram 1	2	3.332977237	4.327346137	4406.8	7389.8	0.994	2983.1	-63.9	MYWA song
8	Spectrogram 1	2	87.909948104	89.309430259	2305.1	6576.3	1.399	4271.2	-55.2	SWTH song
7	Spectrogram 1	1	23.274161084	24.710471717	3118.6	6101.7	1.436	2983.1	-63.3	WIWR song
2	Spectrogram 1	2	4.419417331	7.181553163	3457.6	5966.1	2.762	2508.5	-54.1	WTSP song
11	Spectrogram 1	2	3196.000520852	3197.758333332	5355.9	8474.6	1.758	3118.6	-58.1	BAWW song
