Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	0.038810947	1.306635219	1441.9	5720.9	1.268	4279.1	-62.2	FOSP song
2	Spectrogram 1	1	6.123592770	7.165019851	1483.1	6606.7	1.041	5123.6	-57.8	MAWA song
3	Spectrogram 1	1	11.703834071	20.358675277	1213.5	9640.4	8.655	8427.0	-48.6	WIWR song
4	Spectrogram 1	1	2.703829316	5.963948873	1550.6	4988.8	3.260	3438.2	-65.3	WTSP song
5	Spectrogram 1	1	8.825598995	10.701461439	809.0	4786.5	1.876	3977.5	-63.2	HETH song
6	Spectrogram 1	1	50.756874098	51.960013458	1011.2	6000.0	1.203	4988.8	-66.2	SWTH song
7	Spectrogram 1	1	114.440947079	115.902826087	1685.4	5460.7	1.462	3775.3	-64.7	MYWA song
8	Spectrogram 1	1	253.366306751	254.921437505	3707.9	6134.8	1.555	2427.0	-68.4	DEJU song
9	Spectrogram 1	1	335.638468988	338.163269505	1415.7	7078.7	2.525	5662.9	-49.3	NOWA song
10	Spectrogram 1	2	430.998716743	431.767134292	2561.8	5258.4	0.768	2696.6	-67.6	YBFL song
11	Spectrogram 1	1	739.370113905	742.663331971	5460.7	8494.4	3.293	3033.7	-62.9	GCKI song
12	Spectrogram 1	2	900.294637821	901.410672832	3438.2	8157.3	1.116	4719.1	-63.7	BOCH call
