Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	10.284990817	11.967193843	2751.0	6071.1	1.682	3320.2	-49.8	MYWA song
2	Spectrogram 1	1	8.528023213	10.004623646	6995.0	8804.0	1.477	1809.0	-69.5	BLPW song
3	Spectrogram 1	2	8.771008094	10.415828830	1326.6	3135.7	1.645	1809.0	-52.0	AMRO song
4	Spectrogram 1	1	20.507883731	22.115322178	1688.4	6693.5	1.607	5005.0	-54.9	SWTH song
5	Spectrogram 1	1	40.541726866	41.868798142	2834.2	6874.4	1.327	4040.2	-51.7	MAWA song
6	Spectrogram 1	2	65.316246046	66.736773045	3256.3	5125.6	1.421	1869.3	-55.0	WTSP song
7	Spectrogram 1	1	82.279079193	82.858504680	2412.1	4944.7	0.579	2532.7	-63.4	ALFL song
8	Spectrogram 1	1	96.411927291	98.823084961	1507.5	5306.5	2.411	3799.0	-48.2	FOSP song
9	Spectrogram 1	1	185.061494869	187.098829644	3979.9	8080.4	2.037	4100.5	-65.7	DEJU song
10	Spectrogram 1	1	835.992197709	838.029532484	1688.4	7236.2	2.037	5547.7	-56.1	CAWA song
11	Spectrogram 1	2	911.503456449	912.438013686	2110.6	4824.1	0.935	2713.6	-57.3	WIWR song
12	Spectrogram 1	2	2021.331009988	2022.639390119	3799.0	7598.0	1.308	3799.0	-67.1	AMRE song
13	Spectrogram 1	2	3545.591518896	3547.516706803	6150.8	8321.6	1.925	2170.9	-78.4	GCKI song
