Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	61.175037210	65.895316438	3150.6	5884.2	4.720	2733.6	-72.1	WTSP song
2	Spectrogram 1	1	1209.604646342	1212.641725225	1204.6	3289.6	3.037	2084.9	-57.7	SWTH call
3	Spectrogram 1	1	1891.233753584	1894.014693284	5852.2	9162.6	2.781	3310.3	-75.1	BLPW song
4	Spectrogram 1	1	1990.024677194	1992.549477712	2128.1	6206.9	2.525	4078.8	-65.4	FOSP song
5	Spectrogram 1	1	2155.898181453	2158.057068852	2955.7	7330.0	2.159	4374.4	-63.0	MAWA song
7	Spectrogram 1	2	2351.717594122	2354.882742597	1891.6	6206.9	3.165	4315.3	-65.2	WIWR song
8	Spectrogram 1	1	2470.830756560	2472.486690303	5320.2	8807.9	1.656	3487.7	-68.5	GCKI song
9	Spectrogram 1	1	3000.237438980	3002.022742547	3014.8	7625.6	1.785	4610.8	-62.9	BTNW song
