Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
2	Spectrogram 1	1	1212.476356365	1213.873550461	1633.8	3098.6	1.397	1464.8	-61.7	SWTH call
4	Spectrogram 1	1	2015.526266874	2019.200369867	2985.9	4957.7	3.674	1971.8	-70.0	FOSP song
1	Spectrogram 1	2	61.242208861	66.417001809	2826.3	5837.8	5.175	3011.6	-74.3	WTSP song
5	Spectrogram 1	1	2003.986478599	2006.004647849	3323.9	6535.2	2.018	3211.3	-76.4	MAWA song
11	Spectrogram 1	1	2961.347242620	2962.847932575	3221.5	6926.2	1.501	3704.7	-65.6	BTNW song
8	Spectrogram 1	2	2454.499927621	2456.673340659	6040.3	8053.7	2.173	2013.4	-69.4	GCKI song
10	Spectrogram 1	2	2914.743104109	2918.287837278	1771.8	8214.8	3.545	6443.0	-66.9	WIWR song
3	Spectrogram 1	2	1926.023089589	1928.558738134	6647.9	9014.1	2.536	2366.2	-75.1	BLPW song
