Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	0.284613612	2.975505945	2352.9	9058.8	2.691	6705.9	-48.8	WIWR song
2	Spectrogram 1	1	3.544733170	6.804852727	1470.6	4764.7	3.260	3294.1	-54.4	WTSP song
3	Spectrogram 1	1	214.936834871	216.463398791	2647.1	6470.6	1.527	3823.5	-52.9	MAWA song
4	Spectrogram 1	1	304.365757513	308.065734471	5941.2	8647.1	3.700	2705.9	-56.4	GCKI song
5	Spectrogram 1	1	212.984038579	214.420247569	2117.6	5529.4	1.436	3411.8	-56.2	MYWA song
6	Spectrogram 1	1	9.076838430	10.412421313	1529.4	9000.0	1.336	7470.6	-47.6	NOWA song
7	Spectrogram 1	2	56.924634302	57.985782345	2000.0	5294.1	1.061	3294.1	-68.0	SWTH song
8	Spectrogram 1	1	1657.482057708	1658.672260086	2058.8	5529.4	1.190	3470.6	-69.6	YBFL song
10	Spectrogram 1	1	1659.500226958	1661.479585261	2411.8	7294.1	1.979	4882.4	-55.2	DEJU song
11	Spectrogram 1	1	1877.139795295	1879.041531704	1647.1	5823.5	1.902	4176.5	-71.2	OVEN song
12	Spectrogram 1	1	2053.093667189	2054.969529633	7117.6	10000.0	1.876	2882.4	-62.3	BLPW song
13	Spectrogram 1	2	2605.856547868	2607.396048770	1588.2	4058.8	1.540	2470.6	-59.4	HETH song
14	Spectrogram 1	2	3280.814107267	3283.323881847	1764.7	3823.5	2.510	2058.8	-67.8	PIWO call
15	Spectrogram 1	2	3520.047685168	3521.212013582	2705.9	7235.3	1.164	4529.4	-76.3	BTNW song
